dict	entries	source
ap	90843	csl-orig v02 grep -c ^<L> (2026-07-07)
ap90	34882	csl-orig v02 grep -c ^<L> (2026-07-07)
bop	8961	csl-orig v02 grep -c ^<L> (2026-07-07)
bor	24609	csl-orig v02 grep -c ^<L> (2026-07-07)
bur	19776	csl-orig v02 grep -c ^<L> (2026-07-07)
gra	12785	csl-orig v02 grep -c ^<L> (2026-07-07)
inm	12647	csl-orig v02 grep -c ^<L> (2026-07-07)
krm	2061	csl-orig v02 grep -c ^<L> (2026-07-07)
lrv	53441	csl-orig v02 grep -c ^<L> (2026-07-07)
mw	286525	csl-orig v02 grep -c ^<L> (2026-07-07)
mw72	55390	csl-orig v02 grep -c ^<L> (2026-07-07)
pw	170556	csl-orig v02 grep -c ^<L> (2026-07-07)
shs	47326	csl-orig v02 grep -c ^<L> (2026-07-07)
skd	42531	csl-orig v02 grep -c ^<L> (2026-07-07)
stc	24574	csl-orig v02 grep -c ^<L> (2026-07-07)
